name max avg min
100027_sf_hexa 40.4531 3.57955 1.03034
100031_sf_hexa 82.6045 2.82639 1.03165
100032_sf_hexa 184.108 3.24537 1.01998
100045_sf_hexa 52.2015 3.0485 1.11412
100046_sf_hexa 79.5203 2.70957 1.03003
100070_sf_hexa 38.3595 1.42392 1.00005
100071_sf_hexa 67.4316 2.21722 1.02611
100072_sf_hexa 18.3271 1.52843 1.00354
100073_sf_hexa 23.9341 1.48242 1.00234
100077_sf_hexa 479.614 2.7387 1.04119
100139_sf_hexa 32.9537 2.498 1.03285
100323_sf_hexa 97.8271 2.8498 1.01973
100330_sf_hexa 66.8057 2.58528 1.00234
100335_sf_hexa 18.3462 2.09873 1.03553
100336_sf_hexa 23.8864 2.19731 1.05133
100349_sf_hexa 53.1231 2.22793 1.00005
100388_sf_hexa 83.5593 2.29642 1.00002
100478_sf_hexa 18.3483 1.6668 1.01462
1004827_sf_hexa 880.295 4.37711 1.07245
1005268_sf_hexa 58.5731 2.59899 1.00892
1005269_sf_hexa 72.8491 2.76736 1.01439
1005271_sf_hexa 53.4326 2.69654 1.00871
1005273_sf_hexa 118.658 2.43964 1.00244
1005275_sf_hexa 52.66 2.52315 1.00473
1005279_sf_hexa 69.2475 2.57779 1.00628
1005280_sf_hexa 117.412 2.79945 1.00848
1005282_sf_hexa 33.0929 2.45457 1.008
1005284_sf_hexa 70.0718 2.55327 1.00613
1005285_sf_hexa 16.6723 1.49528 1
100606_sf_hexa 73.0847 2.84714 1.02969
100639_sf_hexa 64.2943 3.29396 1.10843
100643_sf_hexa 60.1241 2.72977 1.03562
100644_sf_hexa 34.8605 2.84193 1.01211
100682_sf_hexa 22.2968 2.67942 1.00079
100727_sf_hexa 58.9723 2.68508 1.01189
100729_sf_hexa 73.2638 2.72397 1.0355
100730_sf_hexa 52.63 2.69426 1.06488
100733_sf_hexa 18.5336 2.236 1.01197
100815_sf_hexa 8.49819 1.68082 1.01614
100894_sf_hexa 111.338 2.58439 1.00013
101249_sf_hexa 258.322 2.64227 1.01767
101250_sf_hexa 38.8621 2.4592 1.01069
1013014_sf_hexa 48.9128 2.43823 1.00324
101341_sf_hexa 81.1048 3.06914 1.0489
1015402_sf_hexa 46.2692 2.52167 1.00879
101556_sf_hexa 54.0916 2.90383 1.07972
101619_sf_hexa 76.5031 2.59659 1.01095
101620_sf_hexa 57.3873 2.43171 1.01177
101632_sf_hexa 21.0476 1.43487 1
101633_sf_hexa 4.56061 1.39293 1
101634_sf_hexa 19.1219 1.60196 1
101635_sf_hexa 27.0252 1.4942 1
101636_sf_hexa 4.0818 1.34669 1
1016856_sf_hexa 55.8021 2.45334 1.00122
1018279_sf_hexa 47.985 3.15484 1.03691
101902_sf_hexa 104.211 2.48317 1.00207
101953_sf_hexa 25.4578 2.73725 1.05803
101954_sf_hexa 70.5965 2.68607 1.02275
101955_sf_hexa 62.9152 3.0746 1.02492
101974_sf_hexa 26.9626 1.60689 1
1021166_sf_hexa 89.1994 2.83942 1.02783
102248_sf_hexa 86.5236 2.9387 1.06392
102296_sf_hexa 64.1598 3.01618 1.07366
102309_sf_hexa 163.891 3.0309 1.02733
102375_sf_hexa 22.6655 2.02543 1
102485_sf_hexa 174.882 2.73293 1.01822
102625_sf_hexa 22.917 1.51894 1
102626_sf_hexa 46.0117 2.66642 1.01694
1028706_sf_hexa 31.7821 2.3479 1.01566
103044_sf_hexa 38.1494 2.72858 1.03761
103086_sf_hexa 54.8296 3.01058 1.07062
103087_sf_hexa 75.9343 2.9286 1.10274
103141_sf_hexa 33.076 2.21947 1
103144_sf_hexa 35.1961 2.52198 1.0373
103145_sf_hexa 33.7782 2.54506 1.09391
103207_sf_hexa 55.2917 2.77022 1.06422
103211_sf_hexa 65.7355 2.96589 1.01418
103284_sf_hexa 10.4015 1.36657 1
103286_sf_hexa 4.23424 1.38878 1
103289_sf_hexa 4.39471 1.34249 1
103355_sf_hexa 44.2264 1.61854 1
103356_sf_hexa 12.3456 1.33838 1
103358_sf_hexa 16.7711 1.68131 1.01307
103441_sf_hexa 88.4308 3.13736 1.02555
1036309_sf_hexa 26.1306 2.67533 1.08847
1036310_sf_hexa 8.43308 1.32215 1
1036312_sf_hexa 33.7132 2.64646 1.04335
1036315_sf_hexa 109.264 2.36897 1.05573
1036316_sf_hexa 64.7555 2.72753 1.01702
1036317_sf_hexa 64.9996 2.31227 1.07615
1036320_sf_hexa 21.0604 2.17201 1.07598
1036396_sf_hexa 27.0218 2.67783 1.05751
1036399_sf_hexa 40.59 2.22622 1.03138
1036428_sf_hexa 45.5803 2.36959 1.00086
1036462_sf_hexa 9.98609 2.39591 1.10165
1036464_sf_hexa 16.772 1.84349 1.01194
1036466_sf_hexa 8.8455 1.29581 1
1036473_sf_hexa 29.5206 2.33857 1.0064
1036650_sf_hexa 33.7132 2.64646 1.04335
1036652_sf_hexa 64.7555 2.72753 1.01702
1036654_sf_hexa 63.8805 3.49201 1.09202
1036655_sf_hexa 138.713 2.90177 1.02768
1037019_sf_hexa 107.909 2.99412 1.0048
1037021_sf_hexa 196.336 3.00131 1.03476
103737_sf_hexa 27.6861 2.86075 1.03377
1038432_sf_hexa 29.1107 2.72412 1.00728
1038436_sf_hexa 86.8838 2.78042 1.02309
1038442_sf_hexa 89.2193 2.55237 1.0043
1038443_sf_hexa 42.5113 2.48924 1.00634
1038444_sf_hexa 49.5013 2.79154 1.02715
1043471_sf_hexa 64.336 2.50651 1.02076
104401_sf_hexa 8.45839 1.17885 1
104403_sf_hexa 21.4737 2.1358 1
1044252_sf_hexa 91.851 2.39977 1.01977
104431_sf_hexa 12.8524 1.64225 1.00246
104445_sf_hexa 11.6414 1.38209 1
104512_sf_hexa 31.1953 3.11642 1.1383
104563_sf_hexa 52.1326 2.9022 1.05732
104640_sf_hexa 101.955 2.63704 1.00861
104969_sf_hexa 375.072 1.92107 1
1051177_sf_hexa 39.4384 2.51649 1.01558
105174_sf_hexa 70.7955 2.70616 1.00547
1053374_sf_hexa 22.964 2.05985 1.01736
1053375_sf_hexa 42.7017 2.51099 1.01713
105338_sf_hexa 22.1819 2.5787 1.03148
1053568_sf_hexa 18.4146 2.469 1.00383
1054518_sf_hexa 46.3931 1.71599 1.00016
105558_sf_hexa 54.4273 2.62092 1.06338
105559_sf_hexa 65.7052 3.61943 1.05335
105690_sf_hexa 872.601 2.64681 1.00001
1056913_sf_hexa 31.4106 2.03153 1.0435
105691_sf_hexa 24.731 2.32064 1.04599
105692_sf_hexa 23.3095 2.3563 1.04542
105804_sf_hexa 25.4592 2.60999 1.02968
105857_sf_hexa 4.33535 1.38463 1.00001
105858_sf_hexa 34.0849 1.86998 1.00413
105860_sf_hexa 35.4636 1.53501 1.00382
105925_sf_hexa 14.1136 1.46962 1.00001
1059578_sf_hexa 30.7753 2.74481 1.02358
106146_sf_hexa 363.692 3.03204 1.03891
1063852_sf_hexa 10.9906 2.09449 1.01243
1063859_sf_hexa 110.064 2.75361 1.06349
1063866_sf_hexa 138.473 2.85501 1.06456
1064115_sf_hexa 184.176 2.70225 1.02281
1065031_sf_hexa 42.439 2.6221 1.01709
106683_sf_hexa 33.8256 2.80185 1.00213
106705_sf_hexa 175.667 3.14964 1.03168
106777_sf_hexa 93.9445 2.79584 1.0358
106778_sf_hexa 34.5592 2.71094 1.03315
106779_sf_hexa 126.189 2.71142 1.01996
106784_sf_hexa 106.936 2.93465 1.04974
106785_sf_hexa 44.3716 2.88571 1.0328
106787_sf_hexa 68.2889 2.8678 1.02031
1069352_sf_hexa 59.3567 2.51228 1.03202
107046_sf_hexa 58.295 3.34402 1.01613
107068_sf_hexa 39.1515 2.50594 1.02651
107071_sf_hexa 57.1957 2.87668 1.07382
107295_sf_hexa 32.3228 2.40428 1.0175
107434_sf_hexa 191.882 2.60013 1.0188
107436_sf_hexa 52.1246 2.34669 1.04732
107438_sf_hexa 62.4285 2.43211 1.02228
107439_sf_hexa 18.1426 2.3485 1.05528
107544_sf_hexa 25.4548 2.50644 1.053
107554_sf_hexa 34.5037 2.62658 1.02747
107587_sf_hexa 50.1843 1.9501 1
107910_sf_hexa 97.208 2.83076 1.03086
1080515_sf_hexa 206.25 2.80147 1.05663
1080516_sf_hexa 21.6554 2.89178 1.05325
1081358_sf_hexa 130.186 2.40146 1.02038
1082231_sf_hexa 30.1931 2.41092 1.00907
108293_sf_hexa 13.5056 2.45305 1
108319_sf_hexa 63.7745 2.83411 1.03047
108321_sf_hexa 108.826 2.9044 1.0274
1085686_sf_hexa 58.7539 2.6029 1.01258
108617_sf_hexa 79.6146 2.77432 1.03275
108619_sf_hexa 27.3757 2.72562 1.03861
1087135_sf_hexa 91.3783 3.07862 1.06475
1088224_sf_hexa 97.6708 3.07747 1.09651
109086_sf_hexa 57.5917 2.85225 1.02348
109087_sf_hexa 80.6931 2.7196 1.01665
109136_sf_hexa 28.9304 2.40699 1.03391
109138_sf_hexa 21.3159 2.40907 1.03573
1093113_sf_hexa 38.562 3.08898 1.0125
1093114_sf_hexa 133.249 3.26156 1.01532
109344_sf_hexa 127.609 2.46057 1.06197
109459_sf_hexa 29.3762 2.2233 1.00186
1095206_sf_hexa 54.5833 2.65607 1.00001
1095207_sf_hexa 26.2081 2.90979 1.03202
1095208_sf_hexa 90.9682 2.65232 1.00001
1095209_sf_hexa 59.5739 2.18402 1.00032
1095210_sf_hexa 47.8986 2.58754 1.00001
109729_sf_hexa 37.3605 2.9414 1.05106
109730_sf_hexa 9.19574 1.80168 1.01002
110028_sf_hexa 17.0979 2.43812 1.00515
110030_sf_hexa 117.793 2.84807 1.01992
110031_sf_hexa 80.2578 2.89846 1.01511
110173_sf_hexa 22.6959 2.44131 1.06362
110204_sf_hexa 21.3349 1.78509 1.0105
110207_sf_hexa 19.2824 2.37804 1.01011
110209_sf_hexa 32.3165 2.59878 1.00411
110211_sf_hexa 81.7375 2.35668 1.02631
110445_sf_hexa 16.8681 2.68293 1.02741
110710_sf_hexa 58.8843 2.9992 1.03844
110716_sf_hexa 114.888 3.05603 1.02349
110720_sf_hexa 42.0372 2.62449 1.01308
110723_sf_hexa 24.7966 2.57753 1.0093
110834_sf_hexa 35.4584 2.97414 1.0014
110905_sf_hexa 9.04897 1.75286 1.01105
110906_sf_hexa 74.2346 3.3637 1.05328
110907_sf_hexa 32.3947 2.96077 1.01562
110908_sf_hexa 84.3259 3.02729 1.02006
110909_sf_hexa 28.9819 2.63444 1.03227
110910_sf_hexa 15.6384 2.45484 1.01452
110911_sf_hexa 46.6254 3.68432 1.03076
111013_sf_hexa 5.83167 1.61928 1.00474
111021_sf_hexa 67.3777 2.43769 1.16291
