name max avg min
2011GP_anc101_a1 34.5663 2.22791 1.10683
2011GP_asm001 9.47192 2.00848 1.02064
2011GP_bumpy_torus 23.481 2.7965 1.08387
2011GP_bunny_hex 82.4913 2.46227 1.10013
2011GP_BU_remesh_hex 20.2933 2.5154 1.06077
2011GP_casting 60.8146 4.94744 1.11655
2011GP_fertility_refine 35.5939 2.67814 1.05711
2011GP_Kiss_hex_coarse 25.5285 2.60506 1.11966
2011GP_kiss_hex 34.196 2.69101 1.09082
2011GP_Stab3_refine3 49.6538 3.64641 1.09147
2012SRF_bone 7.9952 1.85501 1.08624
2012SRF_bunny 35.5028 2.63943 1.05715
2012SRF_ellipsoid-A 3.27593 1.65612 1.08132
2012SRF_ellipsoid-B 2.4614 1.85598 1.14264
2012SRF_ellipsoid-C 7.06209 2.90063 1.14655
2012SRF_fandisk 17.1807 2.34079 1.07767
2012SRF_fertility 63.6778 2.84968 1.08644
2012SRF_hanger 8.66609 1.87148 1.01867
2012SRF_impeller 137.933 6.09956 1.03403
2012SRF_joint 8.9361 1.55085 1.02417
2012SRF_rockerarm 17.973 3.90842 1.13124
2012SRF_rod 7.97035 1.99667 1.01836
2012SRF_sculpture-A 10.7201 2.57857 1.43489
2012SRF_sculpture-B 47.0487 2.56959 1.11241
2013Polycut_BU_hex_opt 12.1597 2.45756 1.05929
2013Polycut_bunny_hex_opt 20.5535 2.24837 1.05384
2013Polycut_carter_hex_opt 24.483 2.88311 1.03451
2013Polycut_fertility_hex_opt 21.1325 3.42906 1.13325
2013Polycut_rocker_arm_hex_opt 31.0822 3.5443 1.05842
2014L1_anc101hex 26.252 1.82462 1.02375
2014L1_angel_1hex 8.08177 2.1871 1.06835
2014L1_angel_2hex 16.5972 2.49276 1.04378
2014L1_angel_3hex 18.5785 2.67427 1.08478
2014L1_bumpy_torushex 16.395 1.98777 1.0285
2014L1_bunnyhex 13.1441 2.30681 1.09885
2014L1_bustehex 24.2226 2.43653 1.06132
2014L1_canewthex 19.3334 2.4289 1.05463
2014L1_cognithex 49.4534 4.35777 1.07767
2014L1_dancing-children-2hex 63.5476 3.11227 1.08784
2014L1_dragonhex 42.9969 4.11642 1.05187
2014L1_elephanthex 30.6518 3.12157 1.05621
2014L1_fertilityhex 24.0261 2.59547 1.03989
2014L1_gargoylehex 13.3578 2.26168 1.08325
2014L1_kisshex 23.0354 2.58851 1.02852
2014L1_kittyhex 27.1838 2.26391 1.12184
2014L1_rockerArm_1hex 8.75781 2.22752 1.06721
2014L1_rockerArm_2hex 13.4428 2.46494 1.08466
